space1,空间2级,时间1级,时间2级,绝对时间,绝对空间
欧洲,西班牙,铁器时代,波旁王朝FAlfonsoI复辟,1875,35
欧洲,西班牙,铁器时代,第二共和国,1931,35
欧洲,西班牙,铁器时代,佛朗哥独裁统治时期,1939,35
欧洲,西班牙,铁器时代,民主过渡阶段,1975,35
欧洲,西班牙,铁器时代,工人社会党执政时期,1982,35
欧洲,西班牙,铁器时代,人民党执政时期,1996,35
欧洲,西班牙,铁器时代,萨帕特罗政府,2004,35
欧洲,法国,旧石器时代,克罗马侬人（Cro-Magnon）,-35000,40
欧洲,法国,铁器时代,凯撒征服高卢,-52,40
欧洲,法国,铁器时代,墨洛温王朝,481,40
欧洲,法国,铁器时代,加洛林王朝,751,40
欧洲,法国,铁器时代,卡佩王朝（987-1328）,987,40
欧洲,法国,铁器时代,瓦卢瓦王朝（1328-1589）,1328,40
欧洲,法国,铁器时代,波旁王朝（1589-1789）,1589,40
欧洲,法国,铁器时代,革命的世纪（1789-1871）,1789,40
欧洲,法国,铁器时代,大革命之后,1871,40
欧洲,希腊,青铜时代,克里特—迈西尼文明,-2000,45
欧洲,希腊,铁器时代,古希腊古风时期,-800,45
欧洲,希腊,铁器时代,古希腊古典时期,-500,45
欧洲,希腊,铁器时代,古希腊希腊化时期,-400,45
欧洲,意大利,铁器时代,罗马建城,-753,50
欧洲,意大利,铁器时代,王政时代（625BC-510BC）,-625,50
欧洲,意大利,铁器时代,罗马共和时代（510BC-31BC）,-510,50
欧洲,意大利,铁器时代,罗马帝国时代（31BC-476AD）,-31,50
欧洲,意大利,铁器时代,中世纪罗马（476-1453）,476,50
欧洲,意大利,铁器时代,文艺复兴时期（14-16世纪）,1453,50
欧洲,意大利,铁器时代,拿破仑征服（1789-1814）,1789,50
欧洲,意大利,铁器时代,现代罗马（19世纪至今）,1871,50
欧洲,意大利,铁器时代,意大利共和国成立,1946,50
欧洲,德国,旧石器时代,尼安迪特,-40000,55
欧洲,德国,铁器时代,条顿骑士团和普鲁士公国,1198,55
欧洲,德国,铁器时代,勃兰登堡和勃兰登堡-普鲁士,1415,55
欧洲,德国,铁器时代,普鲁士王国的崛起,1620,55
欧洲,德国,铁器时代,腓特烈二世，奥地利王位继承,1740,55
欧洲,德国,铁器时代,普鲁士王国的巅峰,1786,55
欧洲,德国,铁器时代,德意志第二帝国,1871,55
欧洲,英国,新石器时代,Iberia定居,-3000,60
欧洲,英国,青铜时代,Celt人迁入,-2000,60
欧洲,英国,铁器时代,凯撒征服不列颠,-55,60
欧洲,英国,铁器时代,盎格鲁-萨克孙人建立王国,650,60
欧洲,英国,铁器时代,诺曼底征服时期,1066,60
欧洲,英国,铁器时代,金雀花王朝时期,1154,60
欧洲,英国,铁器时代,兰开斯特王朝与约克王朝,1415,60
欧洲,英国,铁器时代,都铎王朝,1485,60
欧洲,英国,铁器时代,斯图亚特王朝,1603,60
欧洲,英国,铁器时代,汉诺威王朝,1714,60
欧洲,英国,铁器时代,温莎王朝,1917,60
欧洲,美国,旧石器时代,印第安人达到北美大陆,-20000,65
欧洲,美国,新石器时代,维京人到达北美,1000,65
欧洲,美国,铁器时代,法国建立殖民地,1534,65
欧洲,美国,铁器时代,西班牙建立殖民地,1550,65
欧洲,美国,铁器时代,英国建立殖民地詹姆斯镇,1607,65
欧洲,美国,铁器时代,五月花号,1620,65
欧洲,美国,铁器时代,独立宣言及独立战争,1776,65
欧洲,美国,铁器时代,南北战争,1840,65
欧洲,美国,铁器时代,重建时期,1865,65
欧洲,美国,铁器时代,两次世界大战,1914,65
欧洲,美国,铁器时代,冷战时期,1950,65
欧洲,美国,铁器时代,冷战后新世纪,1991,65
欧洲,玛雅,新石器时代,前古典期（约公元前1500-公元300年左右）,-1500,70
欧洲,玛雅,铁器时代,古典期（约公元4-9世纪）,400,70
欧洲,玛雅,铁器时代,后古典期（约公元9-16世纪）,900,70
欧洲,玛雅,铁器时代,西班牙征服期（1526-1697）,1526,70
